date,region,confirmed,active,cured,deaths
2020-03-27,Andaman and Nicobar Islands,1,1,0,0
2020-03-28,Andaman and Nicobar Islands,6,6,0,0
2020-03-29,Andaman and Nicobar Islands,9,9,0,0
2020-03-30,Andaman and Nicobar Islands,9,9,0,0
2020-03-31,Andaman and Nicobar Islands,10,10,0,0
2020-04-01,Andaman and Nicobar Islands,10,10,0,0
2020-04-02,Andaman and Nicobar Islands,10,10,0,0
2020-04-03,Andaman and Nicobar Islands,10,10,0,0
2020-04-04,Andaman and Nicobar Islands,10,10,0,0
2020-04-05,Andaman and Nicobar Islands,10,10,0,0
2020-04-06,Andaman and Nicobar Islands,10,10,0,0
2020-04-07,Andaman and Nicobar Islands,10,10,0,0
2020-04-08,Andaman and Nicobar Islands,10,10,0,0
2020-04-09,Andaman and Nicobar Islands,11,11,0,0
2020-04-10,Andaman and Nicobar Islands,11,11,0,0
2020-04-11,Andaman and Nicobar Islands,11,11,0,0
2020-04-12,Andaman and Nicobar Islands,11,1,10,0
2020-04-13,Andaman and Nicobar Islands,11,1,10,0
2020-04-14,Andaman and Nicobar Islands,11,1,10,0
2020-04-15,Andaman and Nicobar Islands,11,1,10,0
2020-04-16,Andaman and Nicobar Islands,11,1,10,0
2020-04-17,Andaman and Nicobar Islands,11,1,10,0
2020-04-18,Andaman and Nicobar Islands,12,1,11,0
2020-04-19,Andaman and Nicobar Islands,14,3,11,0
2020-04-20,Andaman and Nicobar Islands,15,4,11,0
2020-04-21,Andaman and Nicobar Islands,16,5,11,0
2020-04-22,Andaman and Nicobar Islands,16,5,11,0
2020-04-23,Andaman and Nicobar Islands,18,7,11,0
2020-04-24,Andaman and Nicobar Islands,22,11,11,0
2020-04-25,Andaman and Nicobar Islands,27,16,11,0
2020-04-26,Andaman and Nicobar Islands,33,22,11,0
2020-04-27,Andaman and Nicobar Islands,33,22,11,0
2020-04-28,Andaman and Nicobar Islands,33,22,11,0
2020-04-29,Andaman and Nicobar Islands,33,18,15,0
2020-04-30,Andaman and Nicobar Islands,33,18,15,0
2020-05-01,Andaman and Nicobar Islands,33,17,16,0
2020-05-02,Andaman and Nicobar Islands,33,17,16,0
