Admin2,Date,Case,Country/Region,Province/State
Price,2020-08-10,33,US,Wisconsin
Garvin,2021-08-14,3929,US,Oklahoma
Butte,2020-01-24,0,US,Idaho
Lowndes,2021-01-25,10377,US,Georgia
Ringgold,2020-12-06,260,US,Iowa
Hall,2020-08-26,19,US,Texas
Archuleta,2020-02-27,0,US,Colorado
Harrison,2020-12-05,1157,US,Iowa
Montgomery,2020-04-24,23,US,Illinois
Perry,2021-01-13,1397,US,Indiana
Hardy,2020-02-27,0,US,West Virginia
Bryan,2021-05-11,6106,US,Oklahoma
Emery,2022-03-31,0,US,Utah
,2020-05-27,49,US,Diamond Princess
Bayfield,2020-12-26,928,US,Wisconsin
Kenosha,2022-02-07,43036,US,Wisconsin
Kiowa,2020-05-05,0,US,Colorado
Berkeley,2020-05-29,228,US,South Carolina
Navarro,2021-06-20,6243,US,Texas
Graham,2022-03-20,565,US,Kansas
Bear River,2021-01-31,18580,US,Utah
Eagle,2021-03-11,5323,US,Colorado
Yell,2020-02-16,0,US,Arkansas
Strafford,2022-02-04,25999,US,New Hampshire
Long,2022-04-07,2765,US,Georgia
Sheridan,2020-06-30,27,US,Wyoming
Morgan,2021-03-02,2310,US,Tennessee
Multnomah,2020-12-19,22973,US,Oregon
Marion,2021-09-02,4746,US,Missouri
Etowah,2021-09-13,18201,US,Alabama
Bay,2020-11-19,3390,US,Michigan
Wexford,2021-09-20,3098,US,Michigan
Pike,2022-02-21,17205,US,Kentucky
San Sebastian,2021-10-19,1864,US,Puerto Rico
Chittenden,2021-02-22,4712,US,Vermont
Thurston,2020-11-19,505,US,Nebraska
Sullivan,2021-05-18,844,US,Missouri
Mason,2020-12-13,783,US,Michigan
Bureau,2022-03-06,8288,US,Illinois
Nance,2020-05-04,4,US,Nebraska
Williamsburg,2021-06-30,4118,US,South Carolina
Lucas,2021-11-29,1244,US,Iowa
Jasper,2020-08-31,650,US,Texas
Bledsoe,2021-09-24,3300,US,Tennessee
Hamlin,2020-04-15,1,US,South Dakota
Pennington,2022-03-30,32660,US,South Dakota
Park,2022-01-29,3641,US,Montana
Hempstead,2022-02-08,4363,US,Arkansas
Osceola,2021-04-28,43772,US,Florida
Sullivan,2020-08-20,10,US,Pennsylvania
Shelby,2020-04-13,26,US,Texas
Pend Oreille,2020-11-01,158,US,Washington
Mason,2020-01-24,0,US,Washington
Wabasha,2021-12-28,4095,US,Minnesota
