date,inspection_step,value,upper_spec,target,lower_spec
2022-01-01,A,21.2,22,21.3,20.6
2022-01-02,A,21.7,22,21.3,20.6
2022-01-03,A,21.4,22,21.3,20.6
2022-01-04,A,21.5,22,21.3,20.6
2022-01-05,A,21.5,22,21.3,20.6
2022-01-06,A,21.7,22,21.3,20.6
2022-01-07,A,21.5,22,21.3,20.6
2022-01-08,A,21.3,22,21.3,20.6
2022-01-09,A,21.1,22,21.3,20.6
2022-01-10,A,21.3,22,21.3,20.6
2022-01-11,A,20.9,22,21.3,20.6
2022-01-12,A,21.2,22,21.3,20.6
2022-01-13,A,21,22,21.3,20.6
2022-01-14,A,21.1,22,21.3,20.6
2022-01-15,A,21.2,22,21.3,20.6
2022-01-16,A,21.4,22,21.3,20.6
2022-01-17,A,21.4,22,21.3,20.6
2022-01-18,A,21.1,22,21.3,20.6
2022-01-19,A,21.9,22,21.3,20.6
2022-01-20,A,21.6,22,21.3,20.6
2022-01-21,A,21.4,22,21.3,20.6
2022-01-22,A,21.4,22,21.3,20.6
2022-01-23,A,21.3,22,21.3,20.6
2022-01-24,A,21.1,22,21.3,20.6
2022-01-25,A,21.2,22,21.3,20.6
2022-01-26,A,21.5,22,21.3,20.6
2022-01-27,A,21.1,22,21.3,20.6
2022-01-28,A,21.2,22,21.3,20.6
2022-01-29,A,20.9,22,21.3,20.6
2022-01-30,A,21.2,22,21.3,20.6
2022-01-31,A,21.4,22,21.3,20.6
2022-02-01,A,21.2,22,21.3,20.6
2022-02-02,A,21.8,22,21.3,20.6
2022-02-03,A,21.4,22,21.3,20.6
2022-02-04,A,21.5,22,21.3,20.6
2022-02-05,A,21.4,22,21.3,20.6
2022-02-06,A,20.8,22,21.3,20.6
2022-02-07,A,21.4,22,21.3,20.6
2022-02-08,A,21.1,22,21.3,20.6
2022-02-09,A,21.6,22,21.3,20.6
2022-02-10,A,21,22,21.3,20.6
2022-02-11,A,21.4,22,21.3,20.6
2022-02-12,A,21.4,22,21.3,20.6
2022-02-13,A,21.3,22,21.3,20.6
2022-02-14,A,20.9,22,21.3,20.6
2022-02-15,A,21,22,21.3,20.6
2022-02-16,A,20.8,22,21.3,20.6
2022-02-17,A,21.6,22,21.3,20.6
2022-02-18,A,21.1,22,21.3,20.6
2022-02-19,A,21.7,22,21.3,20.6
2022-02-20,A,21.2,22,21.3,20.6
2022-02-21,A,21,22,21.3,20.6
2022-02-22,A,20.8,22,21.3,20.6
2022-02-23,A,21.3,22,21.3,20.6
2022-02-24,A,20.8,22,21.3,20.6
2022-02-25,A,21.5,22,21.3,20.6
2022-02-26,A,20.9,22,21.3,20.6
2022-02-27,A,21.1,22,21.3,20.6
2022-02-28,A,20.8,22,21.3,20.6
2022-03-01,A,21.4,22,21.3,20.6
2022-03-02,A,21.1,22,21.3,20.6
2022-03-03,A,21.8,22,21.3,20.6
2022-03-04,A,21,22,21.3,20.6
2022-03-05,A,21.3,22,21.3,20.6
2022-03-06,A,21.2,22,21.3,20.6
2022-03-07,A,21.5,22,21.3,20.6
2022-03-08,A,21.2,22,21.3,20.6
2022-03-09,A,21.5,22,21.3,20.6
2022-03-10,A,21.2,22,21.3,20.6
2022-03-11,A,21.3,22,21.3,20.6
2022-03-12,A,21.2,22,21.3,20.6
2022-03-13,A,20.8,22,21.3,20.6
2022-03-14,A,21.3,22,21.3,20.6
2022-03-15,A,21.4,22,21.3,20.6
2022-03-16,A,21.3,22,21.3,20.6
2022-03-17,A,21.1,22,21.3,20.6
2022-03-18,A,21.2,22,21.3,20.6
2022-03-19,A,21.3,22,21.3,20.6
2022-03-20,A,21.1,22,21.3,20.6
2022-03-21,A,21.2,22,21.3,20.6
2022-03-22,A,21.2,22,21.3,20.6
2022-03-23,A,21.4,22,21.3,20.6
2022-03-24,A,21.5,22,21.3,20.6
2022-03-25,A,21.3,22,21.3,20.6
2022-03-26,A,21.4,22,21.3,20.6
